"K","alpha","sc","pcs"
3,0.5,1,25.9
3,0.5,2,25.7
3,0.5,3,19.4
3,0.5,4,45.5
3,0.5,5,37.6
3,0.5,6,74.6
3,0.5,9,66.4
3,1,1,14.9
3,1,2,18.4
3,1,3,13.9
3,1,4,46.7
3,1,5,45.7
3,1,6,66.5
3,1,9,66.4
3,2,1,0.4
3,2,2,0.5
3,2,3,26.1
3,2,4,47.2
3,2,5,48.4
3,2,6,41.2
3,2,9,67.5
4,0.5,1,23.6
4,0.5,2,26.2
4,0.5,3,17.2
4,0.5,4,46.5
4,0.5,5,42.5
4,0.5,6,74.6
4,0.5,9,65.8
4,1,1,9.6
4,1,2,9.9
4,1,3,24.9
4,1,4,48.6
4,1,5,48.1
4,1,6,65.2
4,1,9,65.1
4,2,1,1
4,2,2,0.9
4,2,3,30.6
4,2,4,52.5
4,2,5,48.7
4,2,6,37.9
4,2,9,63.4
5,0.5,1,19.9
5,0.5,2,22.3
5,0.5,3,20.3
5,0.5,4,47.3
5,0.5,5,46.2
5,0.5,6,75.9
5,0.5,9,65.3
5,1,1,5.1
5,1,2,5.7
5,1,3,29
5,1,4,51.4
5,1,5,48.8
5,1,6,65
5,1,9,63.1
5,2,1,1
5,2,2,1.4
5,2,3,33.2
5,2,4,55.2
5,2,5,48.8
5,2,6,35.6
5,2,9,60.6
