"dataset","scenario","ess_quantile","dose","n","s","is_mean","mcmc_mean","abs_diff","rhat","mcmc_ess"
"Sc1_q10",1,0.1,1,3,0,0.0504264934474277,0.0429900662498021,0.00743642719762562,1.0001798674658,7053.21602654924
"Sc1_q10",1,0.1,2,3,0,0.106254594288571,0.102411160095995,0.00384343419257552,0.999965823646034,8400.33143543487
"Sc1_q10",1,0.1,3,3,0,0.184249495654835,0.180827077259065,0.00342241839577018,1.00005149174355,7636.15066016521
"Sc1_q10",1,0.1,4,21,4,0.30205694693774,0.292671753728355,0.00938519320938497,1.00010253241525,4383.7261111429
"Sc1_q10",1,0.1,5,0,0,0.478724714206168,0.455166962463672,0.0235577517424959,1.00016614065619,2046.43970865984
"Sc1_q10",1,0.1,6,0,0,0.731379805005543,0.687193952897468,0.0441858521080756,1.00000384663688,1446.0782700733
"Sc1_q50",1,0.5,1,3,0,0.0378524250709544,0.0414457341810591,0.00359330911010478,0.99999781536259,7612.78370031395
"Sc1_q50",1,0.5,2,21,0,0.144754370188459,0.149419123838959,0.00466475365049979,1.00044476060531,8110.96821454194
"Sc1_q50",1,0.5,3,6,4,0.304034160031245,0.308768675232967,0.00473451520172191,1.00035940824918,5827.94024302634
"Sc1_q50",1,0.5,4,0,0,0.487697015875482,0.492423983226113,0.00472696735063116,1.00041463094077,3461.2237988435
"Sc1_q50",1,0.5,5,0,0,0.670831505491545,0.675665140474451,0.00483363498290601,1.00040736788661,2151.65193521233
"Sc1_q50",1,0.5,6,0,0,0.840905883759846,0.84342586343588,0.00251997967603401,1.00098809628475,1536.75197586309
"Sc2_q10",2,0.1,1,9,1,0.0618675252333785,0.0676841111121855,0.00581658587880702,0.999995599123183,9740.0341864079
"Sc2_q10",2,0.1,2,3,0,0.124025639482389,0.123450316391113,0.000575323091275434,1.00010908368211,8608.10791053227
"Sc2_q10",2,0.1,3,9,1,0.199534769730629,0.191135353682957,0.00839941604767219,1.0002921830995,6437.26131489286
"Sc2_q10",2,0.1,4,3,0,0.290561949713456,0.276012725241323,0.0145492244721327,1.00050358212954,5010.29546271324
"Sc2_q10",2,0.1,5,3,0,0.401259635372622,0.384946431296403,0.0163132040762193,1.00113774521048,3699.07911503577
"Sc2_q10",2,0.1,6,3,1,0.5411941600071,0.526735484559964,0.0144586754471364,1.00177180371522,3078.55042109977
"Sc2_q50",2,0.5,1,3,0,0.0556596298654658,0.0552476450471704,0.000411984818295408,1.00173311174608,7259.86227400834
"Sc2_q50",2,0.5,2,3,0,0.142417597250892,0.14236266139612,5.49358547721202e-05,1.00024114681165,8591.36431184533
"Sc2_q50",2,0.5,3,18,3,0.263395306252921,0.262868432077147,0.000526874175774128,1.00022178729952,7898.36846664603
"Sc2_q50",2,0.5,4,6,3,0.420069120600015,0.418682059657464,0.00138706094255153,1.00028429872378,4710.45070308416
"Sc2_q50",2,0.5,5,0,0,0.606530697021809,0.6037494994181,0.00278119760370898,1.00147740317684,2390.88032586793
"Sc2_q50",2,0.5,6,0,0,0.807971238958535,0.80491863282369,0.00305260613484404,1.00277128864412,1288.93480230852
"Sc5_q10",5,0.1,1,3,0,0.0513886713426813,0.0362534307979318,0.0151352405447495,1.00069494628164,6706.95526825444
"Sc5_q10",5,0.1,2,3,0,0.0909409670851704,0.0817619651852784,0.009179001899892,1.00025186063532,6671.94048095491
"Sc5_q10",5,0.1,3,3,0,0.140620462459213,0.132872165237331,0.0077482972218817,1.0001354755958,6764.41125929861
"Sc5_q10",5,0.1,4,3,0,0.198564485303848,0.190641709042576,0.00792277626127211,1.00017617807432,6902.17592087678
"Sc5_q10",5,0.1,5,3,0,0.267633985211671,0.256510057908583,0.0111239273030881,1.00021527270558,6832.97579413897
"Sc5_q10",5,0.1,6,15,3,0.347664195029779,0.332619661821298,0.0150445332084813,1.00002222061653,6851.18141160789
"Sc5_q50",5,0.5,1,3,0,0.0467780278887366,0.0394436306044275,0.00733439728430916,1.00015934154112,6964.14217633364
"Sc5_q50",5,0.5,2,3,0,0.0958129621043807,0.0902945892353014,0.0055183728690793,1.00009425160723,7353.69286440706
