"sc","thr","pcs","fallback"
1,50,7.4,1.4
2,50,11.8,10.1
3,50,11.5,16.7
4,50,51.4,5.2
5,50,45.5,59.5
6,50,65,0
9,50,63.1,13.6
1,75,6.2,2.6
2,75,7.8,14.1
3,75,22,28.5
4,75,51.4,5.2
5,75,48,69.1
6,75,65,0
9,75,63.1,13.6
1,100,5.1,4
2,100,5.7,16.8
3,100,29,37.4
4,100,51.4,5.2
5,100,48.8,75.1
6,100,65,0
9,100,63.1,13.6
1,150,3.1,8.5
2,150,3,22
3,150,38,49.8
4,150,51.4,5.2
5,150,48.9,82.5
6,150,64.9,0.2
9,150,63.1,13.6
1,200,5.8,13.9
2,200,4.2,26
3,200,42.4,58.1
4,200,51.4,5.2
5,200,48.9,87
6,200,64.6,0.7
9,200,63.1,13.6
