"calibration","multiplier","c1","c2","sc","pcs","pct_over","pod","mean_dlts"
"published_020",1.05,0.048790164169432,0.0162633880564774,1,36.9,12,6.5,5.5
"published_020",1.05,0.048790164169432,0.0162633880564774,2,24.9,25.6,10.5,5.1
"published_020",1.05,0.048790164169432,0.0162633880564774,3,47.9,7.4,5.6,4.7
"published_020",1.05,0.048790164169432,0.0162633880564774,4,40.9,11.7,11,7.7
"published_020",1.05,0.048790164169432,0.0162633880564774,5,49.1,0,0,3.5
"published_020",1.05,0.048790164169432,0.0162633880564774,6,70.6,15.2,15.1,6.2
"published_020",1.05,0.048790164169432,0.0162633880564774,7,34,36.8,18.3,5.4
"published_020",1.05,0.048790164169432,0.0162633880564774,8,35.4,35.5,18.2,5.5
"published_020",1.05,0.048790164169432,0.0162633880564774,9,62.7,24.7,27.1,8.3
"published_020",1.05,0.048790164169432,0.0162633880564774,10,51.8,25,15.8,6
"midpoint_025",1.075,0.0723206615796261,0.0241068871932087,1,36.9,12,6.5,5.5
"midpoint_025",1.075,0.0723206615796261,0.0241068871932087,2,24.9,25.6,10.5,5.1
"midpoint_025",1.075,0.0723206615796261,0.0241068871932087,3,47.9,7.4,5.6,4.7
"midpoint_025",1.075,0.0723206615796261,0.0241068871932087,4,40.9,11.7,11,7.7
"midpoint_025",1.075,0.0723206615796261,0.0241068871932087,5,49.1,0,0,3.5
"midpoint_025",1.075,0.0723206615796261,0.0241068871932087,6,70.6,15.2,15.1,6.2
"midpoint_025",1.075,0.0723206615796261,0.0241068871932087,7,34,36.8,18.3,5.4
"midpoint_025",1.075,0.0723206615796261,0.0241068871932087,8,35.4,35.5,18.2,5.5
"midpoint_025",1.075,0.0723206615796261,0.0241068871932087,9,62.7,24.7,27.1,8.3
"midpoint_025",1.075,0.0723206615796261,0.0241068871932087,10,51.8,25,15.8,6
"published_030",1.1,0.0953101798043249,0.031770059934775,1,36.9,12,6.5,5.5
"published_030",1.1,0.0953101798043249,0.031770059934775,2,24.9,25.6,10.5,5.1
"published_030",1.1,0.0953101798043249,0.031770059934775,3,47.9,7.4,5.6,4.7
"published_030",1.1,0.0953101798043249,0.031770059934775,4,40.9,11.2,10.9,7.7
"published_030",1.1,0.0953101798043249,0.031770059934775,5,49.1,0,0,3.5
"published_030",1.1,0.0953101798043249,0.031770059934775,6,70.6,15.2,15.1,6.2
"published_030",1.1,0.0953101798043249,0.031770059934775,7,33.5,36.8,18.3,5.4
"published_030",1.1,0.0953101798043249,0.031770059934775,8,35.2,35.5,18.2,5.5
"published_030",1.1,0.0953101798043249,0.031770059934775,9,63.3,24.1,26.8,8.3
"published_030",1.1,0.0953101798043249,0.031770059934775,10,51.8,25,15.8,6
