"k_over","admissible","sc","pcs","pct_over","pod"
1,TRUE,1,32.4,7.1,5.6
1,TRUE,2,24.4,19.6,10.5
1,TRUE,3,43.7,4.2,4.7
1,TRUE,4,38.7,7.2,9.5
1,TRUE,5,45.5,0,0
1,TRUE,6,74.3,10.4,14
1,TRUE,9,68.3,18.3,24.5
1.5,TRUE,1,29.6,6.7,3.4
1.5,TRUE,2,22.7,15.1,6.2
1.5,TRUE,3,34.8,4.7,3
1.5,TRUE,4,33.7,7.6,6.1
1.5,TRUE,5,36,0,0
1.5,TRUE,6,70.2,13.1,9.9
1.5,TRUE,9,69,17.2,17.2
2,TRUE,1,24.4,5.7,2.6
2,TRUE,2,20.5,12.3,5.3
2,TRUE,3,27.7,4,2.3
2,TRUE,4,31.1,6.4,4.6
2,TRUE,5,31,0,0
2,TRUE,6,68.8,12.6,8
2,TRUE,9,69.8,16.2,14.1
3,FALSE,1,12.8,0.5,0.1
3,FALSE,2,12.5,0.7,0.2
3,FALSE,3,5.9,0,0
3,FALSE,4,28.3,2.2,1.2
3,FALSE,5,0,0,0
3,FALSE,6,67.7,6.4,2.1
3,FALSE,9,74.8,10.8,8.1
