"sc","design","N","pcs"
1,"adaptive_iso",15,19
1,"boin",15,22
2,"adaptive_iso",15,14.5
2,"boin",15,17.5
3,"adaptive_iso",15,23.3
3,"boin",15,21.9
4,"adaptive_iso",15,35.2
4,"boin",15,38.1
5,"adaptive_iso",15,0
5,"boin",15,0
6,"adaptive_iso",15,66.8
6,"boin",15,67.7
9,"adaptive_iso",15,65.3
9,"boin",15,57.1
1,"adaptive_iso",20,27.8
1,"boin",20,31.8
2,"adaptive_iso",20,20.9
2,"boin",20,23.8
3,"adaptive_iso",20,30.9
3,"boin",20,32.1
4,"adaptive_iso",20,36.1
4,"boin",20,35.9
5,"adaptive_iso",20,24.4
5,"boin",20,22.9
6,"adaptive_iso",20,65.6
6,"boin",20,61.3
9,"adaptive_iso",20,66.1
9,"boin",20,64.2
1,"adaptive_iso",25,29.8
1,"boin",25,35
2,"adaptive_iso",25,22.1
2,"boin",25,26.5
3,"adaptive_iso",25,41.3
3,"boin",25,38.9
4,"adaptive_iso",25,38.9
4,"boin",25,38.1
5,"adaptive_iso",25,36.7
5,"boin",25,43
6,"adaptive_iso",25,70.2
6,"boin",25,67
9,"adaptive_iso",25,66.2
9,"boin",25,63.1
1,"adaptive_iso",30,32.4
1,"boin",30,35.9
2,"adaptive_iso",30,24.4
2,"boin",30,25
3,"adaptive_iso",30,43.7
3,"boin",30,47.8
4,"adaptive_iso",30,38.7
4,"boin",30,38.6
5,"adaptive_iso",30,45.5
5,"boin",30,48.6
6,"adaptive_iso",30,74.3
6,"boin",30,70.2
9,"adaptive_iso",30,68.3
9,"boin",30,61.8
