"sc","sc_name","true_mtd","design","pcs","pod","pcs_se","ess_med","ess_p10","pct_fb","mean_dlts","pct_over","pct_under","pct_mtd_elim"
1,"Standard sigmoidal",4,"adaptive_iso",32.4,5.6,1.05,-1,-1,0,5.7,7.1,60.5,9.2
2,"Flat plateau",4,"adaptive_iso",24.4,10.5,0.96,-1,-1,0,5.2,19.6,56,7
3,"Abrupt threshold",5,"adaptive_iso",43.7,4.7,1.11,-1,-1,0,4.7,4.2,52.1,3.1
4,"Early toxicity",2,"adaptive_iso",38.7,9.5,1.09,-1,-1,0,7.6,7.2,49.4,14.1
5,"Late toxicity",6,"adaptive_iso",45.5,0,1.11,-1,-1,0,3.6,0,54.5,4.2
6,"Steep mid-range",3,"adaptive_iso",74.3,14,0.98,-1,-1,0,6.4,10.4,15.2,8.8
7,"Mild non-monotone",3,"adaptive_iso",34.4,17.4,1.06,-1,-1,0,5.4,29,36.4,5.1
8,"Strong non-monotone",3,"adaptive_iso",36.4,17.6,1.08,-1,-1,0,5.6,28.5,35,5.9
9,"Lowest-dose MTD",1,"adaptive_iso",68.3,24.5,1.04,-1,-1,0,8.1,18.3,0,13.4
10,"Single-peak toxicity",3,"adaptive_iso",58.1,15.4,1.1,-1,-1,0,6.2,16.3,25.6,7.6
1,"Standard sigmoidal",4,"adaptive_bern",5.1,5.6,0.49,580,173,4,5.7,3.8,91,9
2,"Flat plateau",4,"adaptive_bern",6.8,10.5,0.56,546,52,16.8,5.2,16,77.1,7.1
3,"Abrupt threshold",5,"adaptive_bern",31.7,4.7,1.04,144,36,37.8,4.7,4.3,63.9,3.2
4,"Early toxicity",2,"adaptive_bern",46.7,9.4,1.12,945,543,5,7.6,2.1,46.3,14.1
5,"Late toxicity",6,"adaptive_bern",45.9,0,1.11,32,6,76.8,3.7,0,54.1,4
6,"Steep mid-range",3,"adaptive_bern",64.8,14.3,1.07,771,438,0.2,6.4,0.3,34.9,8.8
7,"Mild non-monotone",3,"adaptive_bern",36.9,17.2,1.08,816,61,12.4,5.4,14.8,47.9,4.9
8,"Strong non-monotone",3,"adaptive_bern",40.6,17.4,1.1,801,67,12,5.6,13.8,45.6,5.9
9,"Lowest-dose MTD",1,"adaptive_bern",65.5,24.6,1.06,729,0,13.4,8.1,21.1,0,13.4
10,"Single-peak toxicity",3,"adaptive_bern",57,15.3,1.11,796,398,0.4,6.2,1.3,41.7,7.5
1,"Standard sigmoidal",4,"boin_bern",5.1,6.1,0.49,559,168,4,5.5,3.8,91.1,9.3
2,"Flat plateau",4,"boin_bern",5.7,10.5,0.52,525,50,16.8,5.1,16.4,78,7
3,"Abrupt threshold",5,"boin_bern",29,5.4,1.01,152,36,37.4,4.7,6.9,64,3.8
4,"Early toxicity",2,"boin_bern",51.4,10.1,1.12,941,539,5.2,7.6,1.9,41.5,15
5,"Late toxicity",6,"boin_bern",48.8,0,1.12,35,6,75.1,3.5,0,51.2,3.2
6,"Steep mid-range",3,"boin_bern",65,14.6,1.07,730,431,0,6.1,0.2,34.8,7.7
7,"Mild non-monotone",3,"boin_bern",37.7,17.8,1.08,774,59,13.1,5.4,14.9,47.1,5.6
8,"Strong non-monotone",3,"boin_bern",38.4,17.9,1.09,788,62,13,5.5,15.5,46.1,5.9
9,"Lowest-dose MTD",1,"boin_bern",63.1,25.9,1.08,717,0,13.6,8.2,23.3,0,13.6
10,"Single-peak toxicity",3,"boin_bern",55.8,15.7,1.11,786,354,0.7,6,1.6,42.6,7.5
1,"Standard sigmoidal",4,"boin",35.9,6.3,1.07,-1,-1,0,5.5,11.5,52.6,9.3
2,"Flat plateau",4,"boin",25,10.5,0.97,-1,-1,0,5.1,25.6,49.4,7.1
3,"Abrupt threshold",5,"boin",47.8,5.4,1.12,-1,-1,0,4.7,7,45.1,3.9
4,"Early toxicity",2,"boin",38.6,10.2,1.09,-1,-1,0,7.6,11.7,44.7,14.8
5,"Late toxicity",6,"boin",48.6,0,1.12,-1,-1,0,3.5,0,51.4,3.4
6,"Steep mid-range",3,"boin",70.2,14.7,1.02,-1,-1,0,6.1,15.4,14.3,7.6
7,"Mild non-monotone",3,"boin",32.8,18,1.05,-1,-1,0,5.4,36.4,30.6,5.5
8,"Strong non-monotone",3,"boin",36,17.8,1.07,-1,-1,0,5.5,34.2,29.7,6.4
9,"Lowest-dose MTD",1,"boin",61.8,26.1,1.09,-1,-1,0,8.2,25,0,13.2
10,"Single-peak toxicity",3,"boin",52,15.8,1.12,-1,-1,0,6,25,23,7
1,"Standard sigmoidal",4,"crm",26,9.2,0.98,-1,-1,0,6.6,3.2,69.8,56.7
2,"Flat plateau",4,"crm",23.4,21,0.95,-1,-1,0,6.1,22,53.5,41.2
3,"Abrupt threshold",5,"crm",40,4.9,1.1,-1,-1,0,5.3,0.6,58.5,25.2
4,"Early toxicity",2,"crm",37.5,25.6,1.08,-1,-1,0,8.6,5.6,36,43.4
5,"Late toxicity",6,"crm",33.9,0,1.06,-1,-1,0,4.5,0,65.9,18.8
6,"Steep mid-range",3,"crm",68.2,16.6,1.04,-1,-1,0,6.7,1.8,29.6,25.6
7,"Mild non-monotone",3,"crm",35,36.3,1.07,-1,-1,0,6,33.1,27.5,17.4
8,"Strong non-monotone",3,"crm",36.2,36.5,1.07,-1,-1,0,6.2,32.8,28,18.9
9,"Lowest-dose MTD",1,"crm",48,48.5,1.12,-1,-1,0,9.2,15,0,35.8
10,"Single-peak toxicity",3,"crm",60.5,21.1,1.09,-1,-1,0,6.9,7.1,31.4,23
1,"Standard sigmoidal",4,"mtpi",41.5,11,1.1,-1,-1,0,6.5,13.1,45.4,13.5
2,"Flat plateau",4,"mtpi",25.7,17.1,0.98,-1,-1,0,5.8,32.2,42,9
3,"Abrupt threshold",5,"mtpi",59,8.6,1.1,-1,-1,0,5.5,5.2,35.8,5.6
4,"Early toxicity",2,"mtpi",45.4,15.4,1.11,-1,-1,0,8.3,10.4,39.5,20
5,"Late toxicity",6,"mtpi",59.7,0,1.1,-1,-1,0,4.1,0,40.4,5.8
6,"Steep mid-range",3,"mtpi",73,21.4,0.99,-1,-1,0,7.4,13.6,13.5,9.9
7,"Mild non-monotone",3,"mtpi",32.1,27,1.04,-1,-1,0,5.9,42.9,24.8,7
8,"Strong non-monotone",3,"mtpi",33.5,27.4,1.06,-1,-1,0,6.1,42.4,24,9.2
9,"Lowest-dose MTD",1,"mtpi",61.5,35.7,1.09,-1,-1,0,8.8,26.6,0,11.9
10,"Single-peak toxicity",3,"mtpi",57.8,23,1.1,-1,-1,0,7.1,23.2,19,9.5
1,"Standard sigmoidal",4,"gboins",36.9,6.5,1.08,-1,-1,0,5.5,12,51.1,8.3
2,"Flat plateau",4,"gboins",24.9,10.5,0.97,-1,-1,0,5.1,25.6,49.5,6.9
3,"Abrupt threshold",5,"gboins",47.9,5.6,1.12,-1,-1,0,4.7,7.4,44.7,3.8
4,"Early toxicity",2,"gboins",40.9,11,1.1,-1,-1,0,7.7,11.7,42.5,15.1
5,"Late toxicity",6,"gboins",49.1,0,1.12,-1,-1,0,3.5,0,50.8,3.6
6,"Steep mid-range",3,"gboins",70.6,15.1,1.02,-1,-1,0,6.2,15.2,14.3,7.3
7,"Mild non-monotone",3,"gboins",34,18.3,1.06,-1,-1,0,5.4,36.8,29.1,5
8,"Strong non-monotone",3,"gboins",35.4,18.2,1.07,-1,-1,0,5.5,35.5,29,6.9
9,"Lowest-dose MTD",1,"gboins",62.7,27.1,1.08,-1,-1,0,8.3,24.7,0,12.6
10,"Single-peak toxicity",3,"gboins",51.8,15.8,1.12,-1,-1,0,6,25,23.2,7.4
1,"Standard sigmoidal",4,"mtpi2",40.6,10.7,1.1,-1,-1,0,6.4,12.4,47,11.5
2,"Flat plateau",4,"mtpi2",24.6,16.5,0.96,-1,-1,0,5.7,31,44.4,8.8
3,"Abrupt threshold",5,"mtpi2",57.6,8.5,1.11,-1,-1,0,5.5,4.8,37.6,5
4,"Early toxicity",2,"mtpi2",43.2,15,1.11,-1,-1,0,8.2,10.3,41.9,16.8
5,"Late toxicity",6,"mtpi2",57.6,0,1.11,-1,-1,0,4.1,0,42.4,5.4
6,"Steep mid-range",3,"mtpi2",73.1,19.8,0.99,-1,-1,0,7.2,12.6,14.3,8.8
7,"Mild non-monotone",3,"mtpi2",31.8,26.9,1.04,-1,-1,0,5.8,42.4,25.7,5.9
8,"Strong non-monotone",3,"mtpi2",35.2,26.6,1.07,-1,-1,0,6.1,40.5,24.2,7.4
9,"Lowest-dose MTD",1,"mtpi2",64.6,32.7,1.07,-1,-1,0,8.6,23.2,0,12.2
10,"Single-peak toxicity",3,"mtpi2",58.2,21.9,1.1,-1,-1,0,7,21.4,20.4,8.6
1,"Standard sigmoidal",4,"aboin",36.5,6.4,1.08,-1,-1,0,5.5,12.2,51.2,8.8
2,"Flat plateau",4,"aboin",25.4,10.5,0.97,-1,-1,0,5.1,25.5,49,6.7
3,"Abrupt threshold",5,"aboin",47.9,5.7,1.12,-1,-1,0,4.7,7.6,44.5,4.1
4,"Early toxicity",2,"aboin",42.1,11.2,1.1,-1,-1,0,7.7,11.9,41.4,14.9
5,"Late toxicity",6,"aboin",48.7,0,1.12,-1,-1,0,3.5,0,51.3,3.6
6,"Steep mid-range",3,"aboin",70,14.9,1.03,-1,-1,0,6.2,15.3,14.7,7.9
7,"Mild non-monotone",3,"aboin",33.4,18.4,1.05,-1,-1,0,5.4,37.2,29.2,5.1
8,"Strong non-monotone",3,"aboin",36,18,1.07,-1,-1,0,5.6,35.1,28.7,7.1
9,"Lowest-dose MTD",1,"aboin",62.8,26.8,1.08,-1,-1,0,8.3,24.4,0,12.8
10,"Single-peak toxicity",3,"aboin",51.2,15.6,1.12,-1,-1,0,6,25,23.8,7.7
