"scen","N","mtd","pi_mtd","elim_rule","design","pcs","pct_mtd_elim","pct_over","pod","dlts"
"Sc1 Standard sigmoidal",30,4,0.3,"standard","adaptive_iso",32.8,9.8,7.3,5.6,5.63
"Sc1 Standard sigmoidal",30,4,0.3,"standard","boin",33.7,10,12.2,6.1,5.46
"Sc1 Standard sigmoidal",30,4,0.3,"standard","gboins",35,10,12.2,6.1,5.48
"Sc1 Standard sigmoidal",30,4,0.3,"equiv_phi2","adaptive_iso",33.4,3.4,7.6,5.7,5.65
"Sc1 Standard sigmoidal",30,4,0.3,"equiv_phi2","boin",34.2,3.7,12.3,6.2,5.49
"Sc1 Standard sigmoidal",30,4,0.3,"equiv_phi2","gboins",35.5,3.7,12.3,6.2,5.51
"Sc4 Early toxicity",30,2,0.3,"standard","adaptive_iso",37.5,15.7,7.3,9.2,7.51
"Sc4 Early toxicity",30,2,0.3,"standard","boin",39.7,15.1,10.9,10.9,7.59
"Sc4 Early toxicity",30,2,0.3,"standard","gboins",40.5,15.6,11.5,11.6,7.66
"Sc4 Early toxicity",30,2,0.3,"equiv_phi2","adaptive_iso",38.8,4.8,8,9.5,7.7
"Sc4 Early toxicity",30,2,0.3,"equiv_phi2","boin",40.9,5.1,11.2,11.3,7.78
"Sc4 Early toxicity",30,2,0.3,"equiv_phi2","gboins",41.8,5.4,11.8,12,7.86
"Offset MTD above target (0.28)",30,3,0.28,"standard","adaptive_iso",63.9,11.8,11.6,13.2,6.49
"Offset MTD above target (0.28)",30,3,0.28,"standard","boin",58.5,11.5,17.4,13,6.1
"Offset MTD above target (0.28)",30,3,0.28,"standard","gboins",58.4,11.6,17.8,13.3,6.14
"Offset MTD above target (0.28)",30,3,0.28,"equiv_phi2","adaptive_iso",67.4,4.3,12.2,13.6,6.57
"Offset MTD above target (0.28)",30,3,0.28,"equiv_phi2","boin",60.8,4.2,18.2,13.7,6.19
"Offset MTD above target (0.28)",30,3,0.28,"equiv_phi2","gboins",60.7,4.2,18.6,14,6.24
"Sc1 Standard sigmoidal",60,4,0.3,"standard","adaptive_iso",37.9,19.4,3,5.5,12.73
"Sc1 Standard sigmoidal",60,4,0.3,"standard","boin",39.2,21.2,6.3,6.7,12.73
"Sc1 Standard sigmoidal",60,4,0.3,"standard","gboins",39.3,22.4,6.4,7.5,12.78
"Sc1 Standard sigmoidal",60,4,0.3,"equiv_phi2","adaptive_iso",41.1,5.1,3.4,6.1,12.96
"Sc1 Standard sigmoidal",60,4,0.3,"equiv_phi2","boin",41.7,6.2,7,7.4,12.96
"Sc1 Standard sigmoidal",60,4,0.3,"equiv_phi2","gboins",41.6,6.5,7.3,8.3,13.03
"Sc4 Early toxicity",60,2,0.3,"standard","adaptive_iso",38.5,24.1,2,6.5,14.57
"Sc4 Early toxicity",60,2,0.3,"standard","boin",41.1,25.1,4.8,8.5,14.81
"Sc4 Early toxicity",60,2,0.3,"standard","gboins",43.8,27,5.3,9.5,14.94
"Sc4 Early toxicity",60,2,0.3,"equiv_phi2","adaptive_iso",42.5,6,2.8,7.2,15.15
"Sc4 Early toxicity",60,2,0.3,"equiv_phi2","boin",44.9,7,5.6,9.5,15.48
"Sc4 Early toxicity",60,2,0.3,"equiv_phi2","gboins",47.8,7.2,6.2,10.8,15.66
"Offset MTD above target (0.28)",60,3,0.28,"standard","adaptive_iso",67.4,25,3.5,9.9,13.61
"Offset MTD above target (0.28)",60,3,0.28,"standard","boin",67,22,7.5,10.7,12.98
