"scen","position","profile","gap","mtd","design","pcs","pct_over","pod","dlts"
"d5 gradual","d5","gradual",0.05,5,"adaptive_iso",21.6,14.8,6.1,4.59
"d5 gradual","d5","gradual",0.05,5,"adaptive_bern",14.8,14.8,6.1,4.59
"d5 gradual","d5","gradual",0.05,5,"boin_bern",12.6,17.6,5.9,4.52
"d5 gradual","d5","gradual",0.05,5,"boin",25.4,18.1,5.9,4.52
"d5 gradual","d5","gradual",0.05,5,"aboin",25.4,18.2,5.9,4.53
"d5 gradual","d5","gradual",0.05,5,"crm",24.6,9.8,9.1,5.38
"d5 gradual","d5","gradual",0.05,5,"mtpi2",27.7,25,11.3,5.15
"d5 gradual","d5","gradual",0.05,5,"gboins",25.4,18.2,5.9,4.53
"d5 abrupt","d5","abrupt",0.1,5,"adaptive_iso",42.1,5.3,4.9,4.65
"d5 abrupt","d5","abrupt",0.1,5,"adaptive_bern",31.1,5.3,4.9,4.65
"d5 abrupt","d5","abrupt",0.1,5,"boin_bern",27.6,7.6,5.4,4.66
"d5 abrupt","d5","abrupt",0.1,5,"boin",45.6,8.1,5.4,4.66
"d5 abrupt","d5","abrupt",0.1,5,"aboin",45.6,8.1,5.4,4.67
"d5 abrupt","d5","abrupt",0.1,5,"crm",39.7,0.4,4.8,5.31
"d5 abrupt","d5","abrupt",0.1,5,"mtpi2",55.6,6.4,8.8,5.51
"d5 abrupt","d5","abrupt",0.1,5,"gboins",45.6,8.1,5.4,4.67
"d6 gradual","d6","gradual",0.07,6,"adaptive_iso",44.7,0,0,3.62
"d6 gradual","d6","gradual",0.07,6,"adaptive_bern",44.7,0,0,3.62
"d6 gradual","d6","gradual",0.07,6,"boin_bern",49,0,0,3.44
"d6 gradual","d6","gradual",0.07,6,"boin",49.2,0,0,3.44
"d6 gradual","d6","gradual",0.07,6,"aboin",49.2,0,0,3.44
"d6 gradual","d6","gradual",0.07,6,"crm",34,0,0,4.44
"d6 gradual","d6","gradual",0.07,6,"mtpi2",57.4,0,0,4.02
"d6 gradual","d6","gradual",0.07,6,"gboins",49.2,0,0,3.44
"d6 steep","d6","steep",0.13,6,"adaptive_iso",59,0,0,3.38
"d6 steep","d6","steep",0.13,6,"adaptive_bern",59,0,0,3.38
"d6 steep","d6","steep",0.13,6,"boin_bern",61,0,0,3.24
"d6 steep","d6","steep",0.13,6,"boin",61,0,0,3.24
"d6 steep","d6","steep",0.13,6,"aboin",61.1,0,0,3.25
"d6 steep","d6","steep",0.13,6,"crm",43.1,0,0,4.12
"d6 steep","d6","steep",0.13,6,"mtpi2",69.2,0,0,3.81
"d6 steep","d6","steep",0.13,6,"gboins",61.1,0,0,3.25
