"design","N","mtd","dose","mean_n","mean_rate","pct_visited","pct_selected","pct_norec","pct_alloc_max","pcs_given_correct_alloc","pct_correct_alloc"
"adaptive_iso",30,3,1,4.1,0.038,100,0.7,0,4.7,92.1,55.7
"adaptive_iso",30,3,2,9.03,0.088,99.6,23.8,0,28.6,92.1,55.7
"adaptive_iso",30,3,3,12.9,0.284,94,63.9,0,55.7,92.1,55.7
"adaptive_iso",30,3,4,3.64,0.459,43.5,11.1,0,10.6,92.1,55.7
"adaptive_iso",30,3,5,0.32,0.604,6.5,0.5,0,0.4,92.1,55.7
"adaptive_iso",30,3,6,0.01,0.722,0.3,0,0,0,92.1,55.7
"boin",30,3,1,4.64,0.039,100,0.3,0,4.2,81.1,43.8
"boin",30,3,2,10.47,0.088,100,23.8,0,45.9,81.1,43.8
"boin",30,3,3,10.98,0.284,97.1,58.5,0,43.8,81.1,43.8
"boin",30,3,4,3.45,0.463,53.2,15.8,0,5.9,81.1,43.8
"boin",30,3,5,0.44,0.605,10.1,1.6,0,0.3,81.1,43.8
"boin",30,3,6,0.02,0.81,0.7,0,0,0,81.1,43.8
"gboins",30,3,1,4.63,0.039,100,0.3,0,4.2,80.9,43.8
"gboins",30,3,2,10.36,0.088,100,23.4,0,45.9,80.9,43.8
"gboins",30,3,3,11,0.284,98.4,58.4,0,43.8,80.9,43.8
"gboins",30,3,4,3.54,0.463,55.1,16.2,0,5.9,80.9,43.8
"gboins",30,3,5,0.44,0.605,10.1,1.6,0,0.3,80.9,43.8
"gboins",30,3,6,0.02,0.81,0.7,0,0,0,80.9,43.8
"adaptive_iso",60,3,1,4.21,0.039,100,0.3,0,0.9,93.5,65.2
"adaptive_iso",60,3,2,17.46,0.089,100,28.7,0,28.7,93.5,65.2
"adaptive_iso",60,3,3,32.38,0.282,98.4,67.4,0,65.2,93.5,65.2
"adaptive_iso",60,3,4,5.53,0.455,46,3.5,0,5.1,93.5,65.2
"adaptive_iso",60,3,5,0.39,0.62,7.2,0,0,0.1,93.5,65.2
"adaptive_iso",60,3,6,0.01,0.75,0.4,0,0,0,93.5,65.2
"boin",60,3,1,4.77,0.039,100,0.3,0,0.7,91.7,63
"boin",60,3,2,20.55,0.09,100,25.2,0,32.3,91.7,63
"boin",60,3,3,28.22,0.28,99.7,67,0,63,91.7,63
"boin",60,3,4,5.83,0.459,61.4,6.8,0,4,91.7,63
"boin",60,3,5,0.58,0.614,11.9,0.8,0,0,91.7,63
"boin",60,3,6,0.03,0.783,1,0,0,0,91.7,63
"gboins",60,3,1,4.78,0.039,100,0.3,0,0.5,91.4,57.8
"gboins",60,3,2,21.93,0.09,100,25.7,0,37.8,91.4,57.8
"gboins",60,3,3,26.4,0.281,99.7,66.8,0,57.8,91.4,57.8
"gboins",60,3,4,6.17,0.458,62.7,6.4,0,3.9,91.4,57.8
"gboins",60,3,5,0.65,0.614,13.6,0.8,0,0,91.4,57.8
"gboins",60,3,6,0.04,0.79,1.3,0,0,0,91.4,57.8
"adaptive_iso",90,3,1,4.31,0.039,100,0.3,0,0.4,87.2,67
"adaptive_iso",90,3,2,27.09,0.089,100,36.4,0,29.7,87.2,67
"adaptive_iso",90,3,3,52.07,0.281,99.2,62.5,0,67,87.2,67
"adaptive_iso",90,3,4,6.09,0.454,46.4,0.7,0,2.9,87.2,67
"adaptive_iso",90,3,5,0.4,0.614,7.3,0,0,0,87.2,67
"adaptive_iso",90,3,6,0.01,0.75,0.4,0,0,0,87.2,67
"boin",90,3,1,4.86,0.039,100,0.3,0,0.4,92.4,67.7
"boin",90,3,2,31.52,0.089,100,28.9,0,29.8,92.4,67.7
"boin",90,3,3,46.19,0.28,99.7,67.4,0,67.7,92.4,67.7
"boin",90,3,4,6.72,0.459,62.7,3.2,0,2.1,92.4,67.7
"boin",90,3,5,0.63,0.609,12.6,0.1,0,0,92.4,67.7
"boin",90,3,6,0.03,0.783,1,0,0,0,92.4,67.7
"gboins",90,3,1,4.9,0.04,100,0.3,0,0.4,93.3,62.4
"gboins",90,3,2,35.09,0.09,100,29.2,0,35.6,93.3,62.4
"gboins",90,3,3,41.93,0.281,99.7,67,0,62.4,93.3,62.4
"gboins",90,3,4,7.31,0.458,65.3,3.2,0,1.6,93.3,62.4
"gboins",90,3,5,0.69,0.609,14.1,0.2,0,0,93.3,62.4
"gboins",90,3,6,0.04,0.798,1.4,0,0,0,93.3,62.4
