"scen","gap","mtd","design","pcs","pct_over","pod","dlts"
"gap 0.05",0.05,3,"adaptive_iso",51.8,31.2,22.2,6
"gap 0.05",0.05,3,"boin",46.2,38.4,21,5.63
"gap 0.05",0.05,3,"gboins",46,38.9,21.3,5.65
"gap 0.10",0.1,3,"adaptive_iso",55.9,26.8,20.7,6.13
"gap 0.10",0.1,3,"boin",51.7,33.9,19.4,5.77
"gap 0.10",0.1,3,"gboins",51.7,34.2,19.7,5.8
"gap 0.15",0.15,3,"adaptive_iso",62.2,21.2,18.1,6.17
"gap 0.15",0.15,3,"boin",57.7,28.7,17.4,5.78
"gap 0.15",0.15,3,"gboins",57.9,29.1,17.7,5.81
"gap 0.25",0.25,3,"adaptive_iso",74,9.8,13.5,6.35
"gap 0.25",0.25,3,"boin",69.8,16,14.1,6
"gap 0.25",0.25,3,"gboins",69.8,16.5,14.4,6.04
"gap 0.40",0.4,3,"adaptive_iso",80.4,2.6,9.4,6.45
"gap 0.40",0.4,3,"boin",79.6,5.4,10.9,6.2
"gap 0.40",0.4,3,"gboins",79.6,5.6,11.2,6.24
