"sc","description","pi1","pi2","pi3","pi4","pi5","pi6","MTD","exact_tie"
1,"Standard sigmoidal",0.05,0.1,0.2,0.3,0.45,0.6,"d4",TRUE
2,"Flat plateau",0.05,0.1,0.22,0.25,0.28,0.35,"d4",FALSE
3,"Abrupt threshold",0.05,0.08,0.12,0.15,0.25,0.6,"d5",FALSE
4,"Early toxicity",0.2,0.3,0.45,0.55,0.65,0.75,"d2",TRUE
5,"Late toxicity",0.02,0.04,0.06,0.1,0.18,0.25,"d6",FALSE
6,"Steep mid-range",0.03,0.07,0.25,0.5,0.7,0.85,"d3",FALSE
7,"Mild non-monotone",0.1,0.15,0.24,0.27,0.2,0.3,"d3",FALSE
8,"Strong non-monotone",0.08,0.15,0.25,0.3,0.18,0.4,"d3",FALSE
9,"Lowest-dose MTD",0.25,0.4,0.55,0.68,0.78,0.86,"d1",FALSE
10,"Single-peak toxicity",0.05,0.12,0.25,0.42,0.6,0.38,"d3",FALSE
