"sc","design","pcs_higher","pcs_lower","difference"
1,"aboin",36.5,40.5,4
1,"adaptive_iso",32.4,44,11.6
1,"boin",35.9,41.3,5.4
1,"gboins",36.9,41.1,4.2
2,"aboin",25.4,21.7,-3.7
2,"adaptive_iso",24.4,22.1,-2.3
2,"boin",25,21.4,-3.6
2,"gboins",24.9,21,-3.9
3,"aboin",47.9,37.5,-10.4
3,"adaptive_iso",43.7,36.4,-7.3
3,"boin",47.8,37.1,-10.7
3,"gboins",47.9,37.5,-10.4
4,"aboin",42.1,49.9,7.8
4,"adaptive_iso",38.7,51.9,13.2
4,"boin",38.6,51.3,12.7
4,"gboins",40.9,49.9,9
5,"aboin",48.7,37.9,-10.8
5,"adaptive_iso",45.5,38.1,-7.4
5,"boin",48.6,38.6,-10
5,"gboins",49.1,38.4,-10.7
6,"aboin",70,68.6,-1.4
6,"adaptive_iso",74.3,70.6,-3.7
6,"boin",70.2,69.1,-1.1
6,"gboins",70.6,69.2,-1.4
9,"aboin",62.8,69.5,6.7
9,"adaptive_iso",68.3,69.2,0.9
9,"boin",61.8,67.5,5.7
9,"gboins",62.7,69.2,6.5
